rating,review
2.0,"인테리어는 훌륭하나 맛은 평범. 무엇보다 최악인 것은 CS인데, 직원들끼리 손님 평하는 것을 실시간으로 들을 수 있다. 일하기 싫은듯한 20대 남직원들이 접시 쾅쾅 내려놓은 것은 덤이다.+ 별점 관리를 잘 하는 것을 장점으로 삼을 수 있을듯."
5.0,포터하우스 맛있다고 해서 방문 했는데 킹갓제네럴 존맛 입니다 -!인테리어부터 훌륭하면서 들어가는 순간 분위기에 취하는 가게라서 너무 좋아용❤️
5.0,가격대는 좀 있지만 특별한날 고급스러운 분위기 느끼고 싶을때 스테이크랑 와인 같이 하면 좋아용~ ^^
5.0,"친절하고 고급스러운 분위기라 사진찍기 좋고, 음식도 진짜 맛있어서 만족스러웠습니다!^^"
5.0,직원들이 친절하고 데이트 할 때 분위기 내기 좋은듯 전체적으로 깔끔하구여 스테이크도 맛있었어요!!
5.0,너무 맛있게 잘 먹었습니다. 분위기고 좋고 최고에요!
5.0,지나가다가 들렀는데친절하셔서 글 남깁니다맛있게 먹었습니다!
5.0,서비스도 친절하시고 분위기도 좋아요! 추천합니다
5.0,성수동 맛집이에요~서비스도 친절하셔서 너무 좋아요!
5.0,분위기맛집이에요~데이트코스로 좋아요~
5.0,인생맛집 등극 ~~ 음식도 최고 분위기는 더 굿
5.0,너무 친절하고 너무 분위기 짱짱이에여  강추
5.0,"스테이크 ,파스타 너무너무 맛있었어용 ㅠㅠ 다시 또 들릴게용"
5.0,넘 맛있어서 처음 리뷰답니다괜히 유명한 업체가 아니에용 말이필요없습니다 존맛입니다 ㅎㅎ
5.0,너무 맛있고 좋아서 또 왔어요
5.0,성수에서 유명하다고 해서 여자친구와 방문해봣는데 샐러드도 신선하고 맛있고 스테이크가 진짜 유튜브에서 보던 스테이크들처럼 퀄리티좋고 맛있어요!!!
5.0,언제나 분위기 좋고 맛있습니당
5.0,와이프랑 2주년 기념으로 갔는데 성공했습니다 ㅎㅎ분위기도 좋고 스테이크가 너무 맛있었습니다!!
5.0,분위기 좋고 음식맛도 맛있어요
5.0,늘 데이트 하기 좋고 분위기 좋은 곳 입니다ㅎㅎㅎ 내 단골 음식점 좋아요
5.0,잘먹었습니다~ 맛있게 잘 먹고갑니다!!
5.0,기념일에 오기 딱좋은 곳이에요!!
5.0,특별한 기념일에 먹기 좋을듯해염 :) 여자친구랑 다음 기념일에도 또 와서 먹었음 좋겠어염 :)
3.0,가격은 뭐 당연히 있는거처럼 생기긴햇는데 직원들이 좀 일을하기 싫어하는느낌이랄까  가격대에 비해서 손님응대가 조금 아쉽네요
5.0,
5.0,별6개
4.0,음식들도 다 맛있고 자꾸 땡기는맛이에요!!! 분위기 너무 좋아서 재방문하고 싶어요. 잘먹었습니다:)!!!!
5.0,여자친구랑 데이트하기 딱 좋네요
5.0,분위기도 좋고 음식도 너무맛있어요!다음에 친구들이랑 다시 올꺼에욥:D
5.0,오늘도 맛있게 먹고갑니다 다음에 또 올게요~
5.0,사장님도 친정하시고 스테이크도 맛있어요분위기도 좋아서 데이트장소로 추천합니다
5.0,무엇보다 사장님이 진짜 친절하시고 분위기도 너무 좋아서 만족했어요! 음식들도 정말 맛있고 또 가고싶네요~
5.0,분위기도 좋구 특히 사장님이 너무 친절하셨어요!
5.0,분위기도 좋고 스테이크도 완전 맛있었어요!!남자친구랑 갔는데 남친도 너무 좋아했네용ㅎㅎ!!
1.0,여기 젊은 남자 직원 싸가지 드릅게 없어요 말투도 개띠껍고ㅋㅋ
5.0,"여친이 가자고 해서 갔는데분위기 5, 음식 5, 친절도 4.5, 청결도 5, 가성비 4"
1.0,법카 들고갈거 아니면 가지 마시길..... 내돈내고 이런 음식 먹고싶진 않다...
4.0,남들 과하다고 한 샹들리에가 사회적 거리를 확보하는데 도움이 되네요 ㅋㅋㅋ 테이블 간 거리가 멀어서 좋았어요야근 식사겸 왔던건데 기대 안했는데 괜찮아요 ㅋㅋ 양도 넉넉하고 리조또가 참 맛있어요~담에 스테이크도 먹으러 가보려고요
5.0,
1.0,
1.0,"1. 파이어트리(?) 안해 아쉽네요.(TV방송 보고 찾아왔는데, 화분만 가득하고 운영을 안하네요.)2. 샹데리어가 너무 과해요.(크고 보기는 좋을것 같으나, 움직이는 동선에 무척 불편하네요. 한쪽의 샹데리어는 불꺼져 T5등으로 대체하고.. 아쉽네요)3. 에어컨 바람 춥네요.(음식이 나오자마자 3분내에 식어버리네요. 스테이크와 파스타가 거의 동시나와 어떤 음식부터 먹어야할지.. 금방식어버린 음식.. 맛이 별로네요)4. 서비스.. 보통보다 약간 떨어집니다.(스테이크집에서 물컵은 종이 컵으로.. 냅킨도 안채워져있고, 스테이크 굽기도 안 물어보시고..)"
4.0,
3.0,맛은 있음 맛없을수 없는 조합들이 가격에 맛없으면 양심없는거그런데 에어컨 너무 쎔 추움
1.0,카카오맵 평점 못 믿겠네;그날 하루 약속을 망치고 싶으면 가세요좋은 후기 남긴 계정들은 다 직원인가요? 다들 이 식당에만 후기 남긴거 같네 ㅎㅎ
2.0,가격대에 비해 맛도 플레이팅도 평범
5.0,"분위기가 정말 좋고 고급지네요.가족끼리 밥먹으러와서 만족하고 돌아갑니다.특히, 서비스가 너무 좋아서 놀랐어요.다음번에도 부탁드립니다."
5.0,분위기 굿! 세피아파스타 ! 올리브파스타! 스테리크 굿!
5.0,"성수동 핫플레이스인 이유를 알겠네요ㅎㅎ고기가 맛있고 분위기 좋고, 직원들이 너무 친절하게응대해주셔서 정말 기분좋게 먹고가요~"
5.0,분위기도 완전 힙하고 음식도 넘 맛있었어요~특히 크림파스타랑 스테이크 짱!! 샐러드도 양도 많고 굿굿
5.0,분위기도 너무 좋고 음식도 너무 맛있어요 직원분들고 친절하시구요~ 그리고 실외는 반려견도 된다는점 완전 추천합니다!!!!가끔 카운터를 지키는 골든리트리버가 있는데 엄청 귀엽고 애교도 많답니다.^_^
5.0,분위기도 좋지만 무엇보다 고기맛이 일품인 집이네요!매니저님이 추천해주신 하우수 와인도 가성비 좋았네요~추천 합니다
4.0,친구랑 돌아다니면서 사진도 많이 찍고 인생샷도 건지고음식도 맛있게 먹었습니다~스테이크 포터하우스랑 봉골레 추천합니다!
4.0,분위기 좋고 맛있어요~^^
1.0,진짜.. 나름 여기 평보고 갔었는데 겉만 화려하고 음식이 터무니 없이 높은 가격에 너무 짜고 양도 말이 안되고... 이 가격에 물은 셀프라뇨^_^ 먹고 맞은편 등촌와서 제대로 된 식사 다시 하네요^_^ 재방문의사 절대 없습니다
5.0,인테리어부터가 새로운 특별한 레스토랑이에요~~ 포터하우스 스테이크 먹었는데 정말 제 취향저격이었습니다ㅎㅎㅎㅎ 그리고 빠에야도 맛있었어요 덕분에 기념일 잘 챙겼습니다~ 고마워요 강추~
5.0,스테이크 존맛이고 써니사이드 파스타랑 빠에야도 너무 맛있어요..다음에 생일때는 파티룸 예약해서 친구들이랑 와야겠어요~!
5.0,꾸덕꾸덕한 파스타를 좋아하는데 크림파스타가 정말 꾸덕하니 맛있었습니다. 고기도 먹다보니 식어서 다시 데워달라고 요청드렸더니 데워주시면서 옆에 채소도 같이 더 얹어주시고 정말 맛있게 잘 먹었습니다. 서비스로 빵이랑 감자튀김도 빼주셨습니다. 가게 인테리어도 이뻐서 특별한 날 오기 정말 좋은 곳입니다.
5.0,음식 좋네요..고기 상태도 좋고 맛있습니다.부모님 모셔서 한번더 방문 할께요
5.0,분위기 좋고 음식이 너무 맛있어요~직원분들도 친절하시고또 방문할 생각입니다!!
4.0,
1.0,음식개판 겉멋만듬
4.0,적당한 곳에서 적당한 서비스좋은 날 기분좋게 즐길 수 있었어요!
5.0,시간과 공간을 노력을 바탕으로 만든곳
5.0,
1.0,이렇게 겉 인테리어만 요란하고 음식이 개판인 집도 정말 처음 봄... 서빙하시는 분들은 자기 식당 메뉴도 잘 모르는 것 같고 추워서 그런 것 같긴한테 칙칙한 패딩을 왜 맞춰 입고 다니는지 도무지 이해도 안감. 매니저한테 뭔 고기가 이리 다 식어서 나오냐니까 식큰둥한 반응.
